S. No.,Observation Date,Water Level (In M),Live Capacity (In M.cum)
993,07-12-2016,399.24,6215.97
994,06-12-2016,399.27,6237.81
995,05-12-2016,399.31,6259.69
996,03-12-2016,399.38,6303.49
997,30-11-2016,399.49,6367.37
998,29-11-2016,399.53,6389.27
999,27-11-2016,399.6,6431.22
1000,26-11-2016,399.63,6451.2
1001,19-11-2016,399.69,6487.53
1002,17-11-2016,399.71,6498.43
1003,16-11-2016,399.72,6503.88
1004,15-11-2016,399.73,6509.33
1005,14-11-2016,399.73,6512.96
1006,13-11-2016,399.75,6522.04
1007,11-11-2016,399.76,6529.31
1008,10-11-2016,399.77,6532.94
1009,09-11-2016,399.77,6536.57
1010,08-11-2016,399.78,6540.2
1011,07-11-2016,399.78,6542.02
1012,06-11-2016,399.79,6543.84
1013,05-11-2016,399.79,6545.65
1014,04-11-2016,399.79,6547.47
1015,03-11-2016,399.8,6549.29
1016,28-10-2016,399.81,6560.18
1017,27-10-2016,399.82,6562
1018,26-10-2016,399.82,6563.82
1019,25-10-2016,399.82,6565.63
1020,21-10-2016,399.83,6569.27
1021,19-10-2016,399.83,6569.27
1022,18-10-2016,399.83,6571.08
1023,16-10-2016,399.84,6574.71
1024,14-10-2016,399.84,6578.35
1025,13-10-2016,399.85,6580.16
1026,12-10-2016,399.85,6580.16
1027,10-10-2016,399.86,6589.25
1028,09-10-2016,399.86,6589.25
1029,08-10-2016,399.85,6580.16
1030,05-10-2016,399.76,6527.49
1031,03-10-2016,399.71,6500.25
1033,02-10-2016,399.68,6478.45
1034,01-10-2016,399.64,6456.65
1035,28-09-2016,399.61,6438.49
1036,27-09-2016,399.6,6431.22
1037,25-09-2016,399.59,6425.78
1038,24-09-2016,399.51,6381.97
1039,23-09-2016,399.38,6299.84
1040,21-09-2016,399.36,6287.07
1041,20-09-2016,399.35,6281.59
1042,18-09-2016,399.33,6272.47
1043,17-09-2016,399.32,6266.99
1044,16-09-2016,399.32,6263.34
1045,13-09-2016,399.3,6250.57
1047,11-09-2016,399.28,6241.45
1048,08-09-2016,399.26,6228.71
1049,07-09-2016,399.25,6223.25
1050,06-09-2016,399.23,6214.15
1051,05-09-2016,399.22,6205.05
1052,04-09-2016,399.18,6183.22
1053,30-08-2016,399.31,6259.69
1054,27-08-2016,399.25,6221.43
1055,23-08-2016,398.89,6008.45
1056,22-08-2016,398.88,6004.81
1057,21-08-2016,397.35,5114.62
1058,20-08-2016,396.45,4634.21
1059,19-08-2016,396.42,4617.23
1060,17-08-2016,396.39,4601.8
1061,14-08-2016,396.31,4560.12
1062,12-08-2016,396.16,4486.01
1063,11-08-2016,396.09,4448.96
1068,10-08-2016,396.02,4411.91
1069,09-08-2016,395.43,4119.24
1070,08-08-2016,395.13,3981.65
1071,07-08-2016,394.77,3815.47
1072,06-08-2016,394.53,3707.82
1073,05-08-2016,394.42,3656.09
1075,04-08-2016,394.16,3534.46
1076,03-08-2016,393.18,3126.14
1077,02-08-2016,392.95,3031.3
1078,01-08-2016,392.88,3003.84
1079,31-07-2016,392.82,2980.14
1080,30-07-2016,392.81,2973.9
1081,29-07-2016,392.68,2921.49
1082,27-07-2016,392.33,2789.16
1083,26-07-2016,392.33,2789.16
1084,25-07-2016,392.33,2789.16
1085,24-07-2016,392.33,2789.16
1086,22-07-2016,392.33,2789.16
1087,19-07-2016,392.32,2783.46
1090,17-07-2016,392.29,2773.21
1091,16-07-2016,392.21,2744.52
1093,15-07-2016,392.19,2735.78
1094,14-07-2016,392.18,2731.41
1095,13-07-2016,392.05,2687.7
1096,12-07-2016,391.95,2650.54
1097,11-07-2016,391.82,2602.31
1098,10-07-2016,391.63,2534.35
1100,09-07-2016,391.34,2430.21
1101,07-07-2016,391.33,2426.93
1102,06-07-2016,391.33,2426.93
1103,05-07-2016,391.33,2426.93
1104,03-07-2016,391.32,2425.83
1105,02-07-2016,391.32,2425.83
1106,01-07-2016,391.32,2424.73
1107,29-06-2016,391.32,2423.64
1108,27-06-2016,391.32,2425.83
1109,26-06-2016,391.33,2428.02
1110,23-06-2016,391.35,2433.5
1111,22-06-2016,391.35,2435.69
1112,21-06-2016,391.34,2432.41
1113,20-06-2016,391.31,2421.45
1114,17-06-2016,391.33,2428.02
1115,14-06-2016,391.46,2476.25
1116,13-06-2016,391.52,2495.98
1117,12-06-2016,391.57,2515.71
1118,10-06-2016,391.68,2555.18
1119,09-06-2016,391.74,2574.9
1120,08-06-2016,391.79,2594.63
1121,07-06-2016,391.84,2609.98
1122,06-06-2016,391.86,2617.65
1124,04-06-2016,392.04,2684.43
1125,29-05-2016,392.11,2707.37
1126,28-05-2016,392.14,2720.48
1127,27-05-2016,392.17,2730.32
1128,26-05-2016,392.19,2736.87
1130,24-05-2016,392.24,2753.26
1131,22-05-2016,392.26,2763.09
1132,21-05-2016,392.27,2765.28
1133,18-05-2016,392.32,2783.46
1134,17-05-2016,392.35,2796
1135,16-05-2016,392.39,2809.67
1136,15-05-2016,392.42,2819.92
1137,14-05-2016,392.44,2830.18
1138,12-05-2016,392.5,2849.55
1139,11-05-2016,392.52,2858.66
1140,10-05-2016,392.54,2866.64
1141,08-05-2016,392.58,2881.56
1142,07-05-2016,392.6,2890.29
1143,06-05-2016,392.62,2899.03
1144,05-05-2016,392.64,2907.76
1145,04-05-2016,392.66,2915.25
1146,02-05-2016,392.7,2928.97
1147,01-05-2016,392.71,2936.46
1148,29-04-2016,392.75,2951.44
1149,27-04-2016,392.79,2966.41
1150,26-04-2016,392.8,2972.65
1151,18-04-2016,392.89,3007.59
1152,17-04-2016,392.89,3010.08
1153,16-04-2016,392.9,3012.58
1154,15-04-2016,392.89,3010.08
1155,24-03-2016,393.28,3167.32
1156,23-03-2016,393.32,3183.54
1157,22-03-2016,393.37,3204.76
1158,20-03-2016,393.47,3245.93
1159,19-03-2016,393.52,3265.86
1160,18-03-2016,393.57,3287.01
1161,17-03-2016,393.63,3309.4
1162,16-03-2016,393.68,3333.03
1163,15-03-2016,393.74,3355.42
1164,14-03-2016,393.8,3379.05
1166,06-03-2016,394.12,3516.29
1167,02-03-2016,394.3,3598.77
1168,01-03-2016,394.35,3622.54
1169,29-02-2016,394.4,3646.3
1171,27-02-2016,394.5,3691.04
1172,26-02-2016,394.55,3713.41
1173,25-02-2016,394.6,3735.78
1174,24-02-2016,394.64,3758.15
1175,23-02-2016,394.69,3780.52
1176,21-02-2016,394.79,3826.65
1177,20-02-2016,394.84,3849.02
1178,19-02-2016,394.89,3871.39
1179,18-02-2016,394.94,3893.75
1180,16-02-2016,395.03,3937.06
1181,15-02-2016,395.08,3959.36
1182,11-02-2016,395.29,4052.72
1183,10-02-2016,395.33,4072.44
1184,09-02-2016,395.37,4091.45
1185,04-02-2016,395.58,4190.9
1186,03-02-2016,395.63,4214.3
1187,02-02-2016,395.67,4237.46
1188,15-01-2016,396.5,4655.83
1189,14-01-2016,396.54,4678.98
1190,12-01-2016,396.63,4725.14
1191,11-01-2016,396.68,4748.22
1192,09-01-2016,396.77,4794.38
1193,08-01-2016,396.81,4815.93
1194,07-01-2016,396.9,4861.11
1195,06-01-2016,396.9,4861.11
1196,05-01-2016,396.95,4887.6
1197,04-01-2016,396.99,4912.43
1198,03-01-2016,397.03,4933.95
1199,02-01-2016,397.07,4955.47
1201,31-12-2015,397.16,5002.13
1202,29-12-2015,397.24,5047.83
1203,28-12-2015,397.28,5070.68
1207,27-12-2015,397.32,5093.53
1209,26-12-2015,397.36,5116.38
1210,23-12-2015,397.48,5184.94
1211,21-12-2015,397.63,5276.35
1213,18-12-2015,397.67,5299.2
1215,17-12-2015,397.71,5322.05
1218,16-12-2015,397.78,5358.97
1220,15-12-2015,397.85,5402.91
1222,12-12-2015,397.96,5466.19
1226,10-12-2015,398.09,5536.46
1228,09-12-2015,398.16,5578.51
1232,07-12-2015,398.19,5599.54
1233,06-12-2015,398.23,5617.06
1234,05-12-2015,398.26,5634.58
1236,04-12-2015,398.29,5652.1
1238,03-12-2015,398.32,5669.62
1239,02-12-2015,398.35,5688.89
1240,01-12-2015,398.39,5711.98
1241,30-11-2015,398.43,5733.54
1242,21-11-2015,398.82,5966.54
1243,20-11-2015,398.83,5973.83
1244,19-11-2015,398.86,5992.05
1245,17-11-2015,398.92,6026.67
1246,16-11-2015,398.95,6044.9
1247,15-11-2015,398.98,6064.94
1248,12-11-2015,399.08,6123.17
1249,08-11-2015,399.12,6145
1251,07-11-2015,399.12,6146.82
1255,06-11-2015,399.12,6148.64
1257,05-11-2015,399.13,6150.46
1258,04-11-2015,399.13,6152.28
1259,03-11-2015,399.13,6154.1
1260,02-11-2015,399.14,6155.92
1261,01-11-2015,399.14,6157.74
1262,31-10-2015,399.14,6159.56
1263,30-10-2015,399.15,6161.38
1264,29-10-2015,399.15,6163.2
1265,27-10-2015,399.15,6166.84
1266,26-10-2015,399.16,6168.66
1267,25-10-2015,399.16,6170.48
1268,24-10-2015,399.16,6172.3
1269,23-10-2015,399.17,6174.12
1270,22-10-2015,399.17,6175.94
1271,21-10-2015,399.17,6177.76
1272,20-10-2015,399.18,6179.58
1273,19-10-2015,399.18,6183.22
1274,18-10-2015,399.19,6188.68
1276,17-10-2015,399.2,6194.14
1277,16-10-2015,399.21,6197.77
1278,14-10-2015,399.22,6203.23
1279,13-10-2015,399.22,6205.05
1280,12-10-2015,399.22,6206.87
1281,11-10-2015,399.23,6208.69
1282,10-10-2015,399.23,6210.51
1283,08-10-2015,399.23,6214.15
1284,07-10-2015,399.24,6215.97
1285,06-10-2015,399.24,6217.79
1286,05-10-2015,399.24,6219.61
1287,04-10-2015,399.25,6221.43
1288,03-10-2015,399.25,6223.25
1289,02-10-2015,399.25,6225.07
1290,01-10-2015,399.26,6226.89
1291,30-09-2015,399.26,6228.71
1292,28-09-2015,399.26,6232.35
1293,27-09-2015,399.27,6234.17
1294,26-09-2015,399.27,6235.99
1295,25-09-2015,399.27,6237.81
1296,24-09-2015,399.28,6239.63
1297,23-09-2015,399.28,6241.45
1298,22-09-2015,399.28,6243.27
1299,20-09-2015,399.29,6246.92
1300,19-09-2015,399.29,6248.74
1301,18-09-2015,399.3,6250.57
1302,17-09-2015,399.3,6252.39
1303,16-09-2015,399.3,6252.39
1304,15-09-2015,399.3,6252.39
1305,14-09-2015,399.3,6252.39
1306,13-09-2015,399.3,6252.39
1307,12-09-2015,399.3,6252.39
1308,11-09-2015,399.3,6252.39
1309,10-09-2015,399.3,6252.39
1310,09-09-2015,399.3,6252.39
1311,08-09-2015,399.3,6252.39
1312,07-09-2015,399.3,6252.39
1313,05-09-2015,399.3,6252.39
1314,04-09-2015,399.3,6250.57
1315,03-09-2015,399.27,6237.81
1316,01-09-2015,399.25,6221.43
1317,31-08-2015,399.24,6217.79
1318,30-08-2015,399.23,6214.15
1319,29-08-2015,399.23,6214.15
1320,27-08-2015,399.23,6214.15
1321,26-08-2015,399.24,6219.61
1322,25-08-2015,399.26,6228.71
1323,24-08-2015,399.27,6237.81
1324,23-08-2015,399.28,6239.63
1325,22-08-2015,399.28,6239.63
1327,21-08-2015,399.28,6239.63
1328,20-08-2015,399.28,6239.63
1330,19-08-2015,399.28,6239.63
1331,18-08-2015,399.25,6225.07
1333,17-08-2015,399.16,6172.3
1334,15-08-2015,399.02,6088.59
1335,14-08-2015,399.16,6172.3
1336,13-08-2015,399.16,6170.48
1337,12-08-2015,399.04,6097.69
1339,11-08-2015,399.24,6219.61
1340,10-08-2015,399.14,6155.92
1342,09-08-2015,399.04,6097.69
1343,08-08-2015,399,6072.22
1345,07-08-2015,399.22,6205.05
1346,06-08-2015,399.03,6090.41
1347,05-08-2015,399.07,6115.89
1348,04-08-2015,399.05,6103.15
1351,03-08-2015,399.05,6103.15
1352,01-08-2015,399.02,6088.59
1353,31-07-2015,399,6072.22
1354,28-07-2015,398.98,6061.3
1355,27-07-2015,399.39,6307.14
1356,26-07-2015,399.27,6234.17
1359,25-07-2015,397.08,4958.78
1361,24-07-2015,395.99,4401.1
1363,22-07-2015,395.67,4234.37
1364,21-07-2015,394.39,3643.51
1365,20-07-2015,392.64,2906.51
1366,19-07-2015,392.14,2717.2
1367,18-07-2015,392.05,2687.7
1368,17-07-2015,392.05,2687.7
1369,16-07-2015,392.07,2693.17
1370,15-07-2015,392.08,2698.63
1371,14-07-2015,392.09,2700.82
1373,13-07-2015,392.09,2700.82
1374,12-07-2015,392.09,2700.82
1377,11-07-2015,392.09,2700.82
1379,10-07-2015,392.09,2700.82
1381,09-07-2015,392.09,2700.82
1384,07-07-2015,392.09,2700.82
1394,05-07-2015,392.09,2700.82
1397,04-07-2015,392.09,2700.82
1398,03-07-2015,392.09,2700.82
1399,02-07-2015,392.09,2700.82
1400,01-07-2015,392.08,2697.54
1401,30-06-2015,392.04,2684.43
1402,29-06-2015,392.01,2673.5
1404,28-06-2015,392.01,2673.5
1405,27-06-2015,392.01,2671.32
1407,26-06-2015,391.98,2660.39
1414,25-06-2015,391.9,2634.09
1416,24-06-2015,391.79,2594.63
1417,22-06-2015,391.8,2596.83
1419,21-06-2015,391.81,2599.02
1421,20-06-2015,391.81,2601.21
1423,18-06-2015,391.82,2605.6
1425,17-06-2015,391.83,2607.79
1426,16-06-2015,391.84,2609.98
1429,15-06-2015,391.84,2612.17
1430,29-03-2015,392.24,2755.45
1431,28-03-2015,392.25,2756.54
1432,26-03-2015,392.25,2758.72
1433,25-03-2015,392.25,2759.82
1434,24-03-2015,392.26,2760.91
1435,21-03-2015,392.27,2764.19
1436,17-03-2015,392.28,2768.65
1437,16-03-2015,392.28,2769.79
1438,15-03-2015,392.28,2770.93
1439,14-03-2015,392.29,2774.35
1440,13-03-2015,392.35,2793.72
1441,12-03-2015,392.41,2818.78
1442,11-03-2015,392.47,2839.29
1443,09-03-2015,392.56,2873.47
1444,08-03-2015,392.62,2896.53
1445,07-03-2015,392.67,2918.99
1446,06-03-2015,392.69,2925.23
1447,05-03-2015,392.72,2940.21
1448,04-03-2015,392.78,2963.91
1449,03-03-2015,392.84,2987.62
1450,02-03-2015,392.89,3007.59
1451,01-03-2015,392.91,3015.08
1452,28-02-2015,392.94,3030.05
1453,27-02-2015,392.99,3050.02
1455,26-02-2015,393.03,3064.99
1456,24-02-2015,393.14,3108.67
1459,23-02-2015,393.19,3131.13
1461,22-02-2015,393.21,3141.12
1462,21-02-2015,393.27,3162.33
1463,19-02-2015,393.38,3207.25
1464,18-02-2015,393.43,3229.71
1466,17-02-2015,393.49,3252.17
1468,16-02-2015,393.53,3269.59
1469,15-02-2015,393.56,3280.79
1471,14-02-2015,393.58,3291.98
1472,13-02-2015,393.63,3309.4
1474,12-02-2015,393.68,3330.54
1475,11-02-2015,393.72,3347.96
1477,10-02-2015,393.75,3361.64
1479,09-02-2015,393.81,3384.26
1481,08-02-2015,393.86,3407.71
1482,07-02-2015,393.92,3429.85
1484,06-02-2015,393.97,3453.3
1486,05-02-2015,394.02,3475.44
1488,04-02-2015,394.07,3496.28
1490,02-02-2015,394.15,3530.27
1492,01-02-2015,394.18,3547.05
1494,31-01-2015,394.22,3565.22
1496,30-01-2015,394.26,3583.39
1499,29-01-2015,394.31,3604.36
1500,28-01-2015,394.36,3626.73
1503,27-01-2015,394.41,3649.1
1505,26-01-2015,394.45,3667.27
1506,25-01-2015,394.49,3688.24
1508,24-01-2015,394.53,3705.02
1511,23-01-2015,394.58,3727.39
1513,22-01-2015,394.62,3748.36
1515,21-01-2015,394.67,3767.94
1517,20-01-2015,394.71,3788.91
1519,19-01-2015,394.76,3811.27
1521,18-01-2015,394.81,3833.64
1523,17-01-2015,394.86,3856.01
1525,16-01-2015,394.91,3878.38
1527,15-01-2015,394.95,3900.74
1528,14-01-2015,394.98,3910.53
1530,13-01-2015,395.01,3924.51
1531,12-01-2015,395.04,3938.46
1533,11-01-2015,395.09,3960.75
1535,10-01-2015,395.13,3983.05
1537,09-01-2015,395.18,4005.34
1539,08-01-2015,395.23,4026.25
1541,07-01-2015,395.27,4047.15
1543,06-01-2015,395.31,4065.26
1545,05-01-2015,395.35,4084.14
1548,02-01-2015,395.49,4149.95
1550,01-01-2015,395.51,4158.73
,,,
